available_recall,eval_date,matched_cases_recalled,paper_id,pool_available_cases,raw_recall,selected_candidates,threshold
0.0,2026-02-06,0,29,0,0.0,4,0.007097904530888309
0.0,2026-02-06,0,29,0,0.0,6,0.0050526577117710305
0.0,2026-02-06,0,29,0,0.0,7,0.0015584821826840705
0.0,2026-02-06,0,29,0,0.0,8,0.0006445419049432131
0.0,2026-02-06,0,29,0,0.0,9,0.0005411951436051357
0.0,2026-02-06,0,29,0,0.0,12,0.0005301908536765394
0.0,2026-02-06,0,29,0,0.0,13,0.00021541486950345733
0.0,2026-02-06,0,29,0,0.0,14,0.00010429277589376055
0.0,2026-02-06,0,29,0,0.0,15,9.328848596516431e-05
0.0,2026-02-06,0,29,0,0.0,16,9.210262338349887e-05
0.0,2026-02-06,0,29,0,0.0,18,5.4839275869688416e-05
0.0,2026-02-06,0,29,0,0.0,19,4.511758870724459e-05
0.0,2026-02-06,0,29,0,0.0,22,3.969729617214961e-06
0.0,2026-02-06,0,29,0,0.0,23,1.1555878120330367e-06
0.0,2026-02-06,0,29,0,0.0,24,1.1225863511727028e-06
0.0,2026-02-06,0,29,0,0.0,25,3.3001460860333806e-08
0.0,2026-02-06,0,29,0,0.0,26,1.3233750745613465e-22
0.0,2026-02-06,0,29,0,0.0,27,1.1972581098945988e-22
0.0,2026-02-06,0,29,0,0.0,28,1.5642327606386504e-30
0.0,2026-02-06,0,29,0,0.0,29,5.687720489127281e-31
0.0,2026-02-06,0,29,0,0.0,30,3.3341809763849574e-31
0.0,2026-02-06,0,29,0,0.0,31,2.5682204818100347e-31
0.0,2026-02-06,0,29,0,0.0,32,2.4328667863117443e-31
0.0,2026-02-06,0,29,0,0.0,33,2.2752709019355508e-31
0.0,2026-02-06,0,29,0,0.0,34,1.8708015350122005e-31
0.0,2026-02-06,0,29,0,0.0,41,1.7121469878733565e-31
0.0,2026-02-06,0,29,0,0.0,42,1.7013612620810226e-31
0.0,2026-02-06,0,29,0,0.0,43,1.622033988511601e-31
0.0,2026-02-06,0,29,0,0.0,44,1.012734918475188e-31
0.0,2026-02-06,0,29,0,0.0,45,9.354007675061003e-32
0.0,2026-02-06,0,29,0,0.0,46,8.560734939366783e-32
0.0,2026-02-06,0,29,0,0.0,47,6.985571639436614e-32
0.0,2026-02-06,0,29,0,0.0,48,5.636411543090506e-32
0.0,2026-02-06,0,29,0,0.0,49,4.054637637029552e-32
0.0,2026-02-06,0,29,0,0.0,50,3.367234007038883e-32
0.0,2026-02-06,0,29,0,0.0,51,3.331745489915722e-32
0.0,2026-02-06,0,29,0,0.0,52,3.263750683999074e-32
0.0,2026-02-06,0,29,0,0.0,53,2.930934002407063e-32
0.0,2026-02-06,0,29,0,0.0,54,2.5384727542215026e-32
0.0,2026-02-06,0,29,0,0.0,55,2.221163659943814e-32
